Title,categoria,nivel,es_restaurante,Content,logo,sitio_web,estado
Adidas,Moda,Nivel 1,false,"Una marca icónica en el mundo del deporte que ofrece ropa, calzado y accesorios diseñados para mejorar tu desempeño. Adidas combina tecnología innovadora con diseños modernos, siendo ideal tanto para los amantes del deporte como para quienes buscan un estilo casual y deportivo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/adidas.webp?v=3,www.adidas.mx,
Aerie,Moda,Nivel 1,false,"La marca inspiradora que promueve la autenticidad y la confianza. Aerie se especializa en ropa íntima, trajes de baño y athleisure con diseños cómodos, inclusivos y modernos para dama.",https://raw.githubusercontent.com/pradofox/fd-logos/main/aerie.webp?v=3,www.ae.com/mx/es,
ALBOA,Gastronomía,Nivel 3,false,"Disfruta de emocionantes partidas de boliche mientras saboreas deliciosos platillos como pizzas, boneless, papas y ensaladas. Ideal para pasar un buen rato con amigos o familia. ¡Ven a disfrutar de una experiencia que combina diversión, sabor y buena compañía!",https://raw.githubusercontent.com/pradofox/fd-logos/main/alboa.webp?v=3,www.alboa.com.mx,
American Eagle,Moda,Nivel 1,false,"Reconocida por sus jeans de alta calidad y diseños casuales, American Eagle es la marca ideal para quienes buscan ropa cómoda y moderna. Desde camisetas hasta chaquetas, sus colecciones reflejan un estilo relajado que se adapta a la vida diaria.",https://raw.githubusercontent.com/pradofox/fd-logos/main/american-eagle.webp?v=3,www.ae.com/mx/es,
Arena,Entretenimiento,Nivel 3,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/arena.webp?v=3,,
Aurarius,Joyería,Nivel 2,false,Sumérgete en el lujo del cuidado de la piel con Aurarius. Descubre tratamientos antienvejecimiento de alta gama ideal para quienes buscan una experiencia de belleza exclusiva y resultados visibles.,https://raw.githubusercontent.com/pradofox/fd-logos/main/aurarius.webp?v=3,aurarius.com/our-stores,
Bango & Co,Moda,Nivel 1,false,"Tienda de accesorios modernos y originales que completan cualquier look. Con sus diseños únicos y creativos, podrás agregar un toque especial a tu estilo personal y destacar en cualquier ocasión.",https://raw.githubusercontent.com/pradofox/fd-logos/main/bango-and-co.webp?v=3,,
Bed Bath & Beyond,Hogar,Lobby,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/bed-bath-and-beyond.webp?v=3,www.bedbathandbeyond.com,
Bershka,Moda,Lobby,false,"Estilo urbano y accesible con Bershka, la tienda de ropa y accesorios con mejor variedad en México.",https://raw.githubusercontent.com/pradofox/fd-logos/main/bershka.webp?v=3,www.bershka.com/mx,
Bizzarro,Moda,Nivel 1,false,Joyería que ofrece diseños exclusivos y sofisticados para cada ocasión. Sus piezas atemporales son perfectas para quienes buscan realzar su estilo con toques de elegancia y distinción.,https://raw.githubusercontent.com/pradofox/fd-logos/main/bizzarro.webp?v=3,www.joyeriasbizzarro.com,
Blush Bar,Belleza,Nivel 1,false,"El lugar ideal para encontrar productos de maquillaje de alta calidad. Con una amplia selección de cosméticos, podrás resaltar tu belleza y expresar tu estilo con productos de marcas reconocidas.",https://raw.githubusercontent.com/pradofox/fd-logos/main/blush-bar.webp?v=3,www.blush-bar.com.mx,
Buffalo Pizza,Gastronomía,Food Court,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/buffalo-pizza.webp?v=3,buffalover.mx,
Carl's Jr,Gastronomía,Food Court,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/carl-s-jr.webp?v=3,carlsjr.com.mx,
Charly,Moda,Nivel 2,false,"Descubre moda deportiva y casual que combina estilo, comodidad y rendimiento. Charly es tu destino para las últimas tendencias en ropa y calzado deportivo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/charly.webp?v=3,www.charly.com,
Chilim Balam,Gastronomía,Nivel 2,false,"Déjate tentar por la explosión de sabores en Chilim Balam. Encuentra una gran variedad de dulces, gomitas enchiladas, snacks picositos y botanas irresistibles. El lugar perfecto para satisfacer tus antojos y compartir momentos llenos de sabor con tus favoritos.",,www.facebook.com/SoyChilimBalam,
Cinemex Platino,Entretenimiento,Nivel 3,false,Disfruta de las mejores películas en un ambiente cómodo y moderno. Cinemex Platino es el lugar perfecto para una experiencia cinematográfica única con opciones de entretenimiento de alta calidad.,https://raw.githubusercontent.com/pradofox/fd-logos/main/cinemex-platino.webp?v=3,www.cinemex.com,Nuevo concepto
Circus Park,Entretenimiento,Nivel 3,false,"Vive la emoción de los videojuegos y la diversión en familia en Circus Park. Disfruta de espacios recreativos con tecnología de punta, ideales para jugar, reír y crear momentos inolvidables con amigos o pequeños. ¡Una experiencia llena de color, adrenalina y entretenimiento para todas las edades!",https://raw.githubusercontent.com/pradofox/fd-logos/main/circus-park.webp?v=3,circuspark.com.mx/circus-park-fashion-drive,
Ciudad Maderas Terrenos Premium,Servicios,Nivel 1,false,"Ciudad Maderas ofrece terrenos premium en desarrollos exclusivos, ideales para quienes buscan invertir en su futuro. Disfruta de un entorno seguro y natural, perfecto para construir el hogar de tus sueños.",https://raw.githubusercontent.com/pradofox/fd-logos/main/ciudad-maderas.webp?v=3,ww.ciudadmaderas.com,
Cole Haan,Moda,Nivel 1,false,"Sinónimo de elegancia y comodidad, Cole Haan diseña zapatos, bolsos y accesorios que combinan tecnología avanzada con un estilo sofisticado. Perfecto para quienes buscan destacar con un look impecable sin sacrificar comodidad.",https://raw.githubusercontent.com/pradofox/fd-logos/main/cole-haan.webp?v=3,www.colehaan.com.mx,
Cristal Joyas,Joyería,Nivel 2,false,Dale un toque de elegancia a tu look con las joyas exclusivas de Cristal Joyas. Encuentra piezas únicas que resaltan tu estilo personal y hacen brillar cualquier ocasión.,https://raw.githubusercontent.com/pradofox/fd-logos/main/cristal-joyas.webp?v=3,www.cristaljoyas.com,
Crocs,Moda,Nivel 1,false,"Famosa por su calzado cómodo y ligero, Crocs se ha convertido en un imprescindible para toda la familia. Con una amplia variedad de diseños y colores, sus zapatos son perfectos para cualquier ocasión, desde un día casual hasta actividades al aire libre.",https://raw.githubusercontent.com/pradofox/fd-logos/main/crocs.webp?v=3,crocs.com.mx,
Ellaz,Moda,Nivel 1,false,"Marca de moda femenina que destaca por su elegancia y estilo moderno. Con colecciones versátiles, sus prendas están pensadas para realzar tu figura y mantenerte con las últimas tendencias.",https://raw.githubusercontent.com/pradofox/fd-logos/main/ellaz.webp?v=3,www.ellaz.com,
Europiel,Belleza,Nivel 2,false,"Cuida tu piel con los productos de Europiel, especializados en tratamientos de belleza, cuidado facial y corporal. ¡La belleza comienza con una piel saludable!",https://raw.githubusercontent.com/pradofox/fd-logos/main/europiel.webp?v=3,www.europiel.com.mx,
Firehouse Subs,Gastronomía,Food Court,false,,,,Por abrir
Flama,Gastronomía,Terraza,true,"Especializados en carnes a la parrilla, cortes de calidad y un ambiente ideal para disfrutar de una parrillada con amigos o en familia. La pasión por la cocina a fuego lento se refleja en cada plato, para brindarte una experiencia auténtica y llena de sabor.",https://raw.githubusercontent.com/pradofox/fd-logos/main/flama.webp?v=3,grupopacifica.com,
Fogo de Chão,Gastronomía,Lobby,true,"Restaurante especializado en cortes de carne al estilo brasileño, que ofrece una experiencia gastronómica única con su concepto de rodizio. En Fogo de Chão, disfrutarás de una variedad de cortes de carne asada a la perfección, servidos de manera tradicional directamente en tu mesa por los gauchos, quienes te ofrecerán los mejores cortes como picanha, costillas, maminha, entre otros.",https://raw.githubusercontent.com/pradofox/fd-logos/main/fogo-de-chao.webp?v=3,www.fogodechao.com,
Full Vision,Servicios,Nivel 1,false,"Óptica que combina tecnología avanzada y diseños modernos en sus lentes. Con una amplia variedad de opciones, ofrece productos perfectos para cuidar tu visión sin perder tu estilo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/full-vision.webp?v=3,,
Gandhi,Servicios,Nivel 2,false,"Una librería que ofrece una amplia selección de libros, desde las mejores novelas hasta colecciones especializadas. Ideal para los amantes de la lectura que buscan explorar temas de interés particular.",https://raw.githubusercontent.com/pradofox/fd-logos/main/gandhi.webp?v=3,www.gandhi.com.mx,
Ghiberti,Joyería,Lobby,false,"Ghiberti es una tienda de lujo especializada en relojes de alta gama, plumas estilográficas de prestigio y accesorios exclusivos, que ofrece productos diseñados para quienes aprecian la excelencia y la sofisticación. En Ghiberti, encontrarás relojes de marcas icónicas, conocidos por su precisión, elegancia y diseño atemporal, ideales para quienes buscan una pieza única que combine funcionalidad y lujo.",https://raw.githubusercontent.com/pradofox/fd-logos/main/ghiberti.webp?v=3,www.ghiberti.com.mx,
H&M,Moda,Lobby,false,"Tienda de moda internacional que ofrece una amplia variedad de ropa, calzado y accesorios para hombres, mujeres y niños. Con un enfoque en tendencias actuales y estilo atemporal, H&M presenta opciones versátiles para cada ocasión, desde looks casuales hasta prendas más sofisticadas.",https://raw.githubusercontent.com/pradofox/fd-logos/main/handm.webp?v=3,www.hm.com,
Häagen-Dazs,Gastronomía,Nivel 1,false,"Marca de helados estadounidense premium que te ofrece una experiencia de sabor inigualable. Descubre una variedad de sabores como Salted Caramel Pint, Chocolate Salted Caramel Pint. Sabores exquisitos que te harán volver regresar.",https://raw.githubusercontent.com/pradofox/fd-logos/main/haagen-dazs.webp?v=3,www.haagendazs.com.mx,
Havoc,Moda,Nivel 2,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/havoc.webp?v=3,havoc.mx,
Holy Cow,Gastronomía,Terraza,true,"Bienvenido a Holy Cow, el paraíso para los amantes de las hamburguesas. Aquí, cada bocado es una explosión de sabor, con carnes jugosas, ingredientes frescos y una selección de acompañamientos únicos.",https://raw.githubusercontent.com/pradofox/fd-logos/main/holy-cow.webp?v=3,www.holycow.com.mx,
Innovasport,Moda,Lobby,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/innovasport.webp?v=3,,
Innvictus,Moda,Lobby,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/innvictus.webp?v=3,www.invictus.com.mx,
Intimissimi,Moda,Nivel 1,false,,https://raw.githubusercontent.com/pradofox/fd-logos/main/intimissimi.webp?v=3,www.intimissimi.com/mx/mujer,
Isabella Joyería,Joyería,Nivel 2,false,"Encuentra joyas únicas y sofisticadas en Isabella Joyería, donde la calidad y el diseño se combinan para crear piezas que realzan tu belleza.",https://raw.githubusercontent.com/pradofox/fd-logos/main/isabella-joyeria.webp?v=3,www.isabellajoyeria.com,
Juguetrón,Entretenimiento,Nivel 2,false,"La tienda ideal para los más pequeños de la casa, descubre una amplia variedad de marcas de juguetes educativos, de acción y para todas las edades.",https://raw.githubusercontent.com/pradofox/fd-logos/main/juguetron.webp?v=3,www.juguetron.mx,
Kentucky Fried Chicken,Gastronomía,Food Court,false,"La cadena de pollo frito más famosa del mundo llega a Fashion Drive para deleitar tu paladar. Visítanos y prueba todo el sabor de las KeTiras, Mega Combos Big Crunch o el clásico de clásicos, el Bucket de hasta 18 piezas.",https://raw.githubusercontent.com/pradofox/fd-logos/main/kentucky-fried-chicken.webp?v=3,kfc.com.mx/home,
